# 되묻기 후보 정렬용 대표종목 가중치. 값이 클수록 후보 목록 앞에 온다.
#
# 형식: code,priority,종목명   ← 3번째 필드는 사람이 읽기 위한 주석이고 적재는 무시한다.
#
# 왜 손으로 관리하나: 마스터 4천 행에는 대표성 신호가 없다. 시가총액(F15028)은 종목별 개별
# 조회뿐이라 기동 시 수천 콜이 필요하고, CHECK API에는 시총 상위 조회 엔드포인트가 없다.
# 여기 없는 종목은 0으로 취급되며, 그때는 접두일치·유형·이름 길이 순으로 정렬된다.
#
# 순위는 대략적인 시가총액 순이다. 정확할 필요는 없고 "삼성"의 첫 후보가 삼성전자면 된다.

005930,1000,삼성전자
000660,990,SK하이닉스
373220,980,LG에너지솔루션
207940,970,삼성바이오로직스
005380,960,현대차
000270,950,기아
068270,940,셀트리온
105560,930,KB금융
055550,920,신한지주
005490,910,POSCO홀딩스
035420,900,NAVER
051910,890,LG화학
006400,880,삼성SDI
012330,870,현대모비스
035720,860,카카오
028260,850,삼성물산
086790,840,하나금융지주
138040,830,메리츠금융지주
032830,820,삼성생명
329180,810,HD현대중공업
012450,800,한화에어로스페이스
034020,790,두산에너빌리티
259960,780,크래프톤
000810,770,삼성화재
096770,760,SK이노베이션
010130,750,고려아연
011200,740,HMM
316140,730,우리금융지주
066570,720,LG전자
003670,710,포스코퓨처엠
015760,700,한국전력
017670,690,SK텔레콤
033780,680,KT&G
009150,670,삼성전기
030200,660,KT
024110,650,기업은행
086280,640,현대글로비스
010950,630,S-Oil
090430,620,아모레퍼시픽
003550,610,LG
034730,600,SK
042660,590,한화오션
009540,580,HD한국조선해양
018260,570,삼성에스디에스
097950,560,CJ제일제당
003490,550,대한항공
042700,540,한미반도체
032640,530,LG유플러스
247540,520,에코프로비엠
196170,510,알테오젠
086520,500,에코프로
028300,490,HLB
141080,480,리가켐바이오
000250,470,삼천당제약
214450,460,파마리서치
214150,450,클래시스
277810,440,레인보우로보틱스
035900,430,JYP Ent.
348370,420,엔켐
145020,410,휴젤
